song,artist
Easier Said Than Done,The Essex
Marlena,The 4 Seasons
Detroit City,Bobby Bare
Memphis,Lonnie Mack
Hopeless,Andy Williams
Surfin' Hootenanny,Al Casey
Mama Don't Allow,The Rooftop Singers
Daughter,The Blenders
I Wonder,Brenda Lee
This Is All I Ask,Burl Ives
This Is All I Ask,Tony Bennett
Shake! Shake! Shake!,Jackie Wilson
These Foolish Things,James Brown And The Famous Flames
Make The Music Play,Dionne Warwick
Make The World Go Away,Ray Price
Ring Of Fire,Johnny Cash
Sometimes You Gotta Cry A Little,Bobby Bland
Can't Nobody Love You,Solomon Burke
Dum Dum Dee Dum,Johnny Cymbal
It Won't Be This Way (Always),The King Pins
I'm Not A Fool Anymore,T.K. Hulin
"Dance, Everybody, Dance",The Dartells
"Tie Me Kangaroo Down, Sport",Rolf Harris
Till Then,The Classics
Pride And Joy,Marvin Gaye
Not Me,The Orlons
Six Days On The Road,Dave Dudley
Tips Of My Fingers,Roy Clark
Be Careful Of Stones That You Throw,Dion
How Many Teardrops,Lou Christie
I'm Afraid To Go Home,Brian Hyland
Surf Party,Chubby Checker
I Will Love You,Richard Chamberlain
Land Of 1000 Dances,Chris Kenner
I Cried,Tammy Montgomery
Sukiyaki,Kyu Sakamoto
My True Confession,Brook Benton
Goodnight My Love,The Fleetwoods
Blue On Blue,Bobby Vinton
Rock Me In The Cradle Of Love,Dee Dee Sharp
Hootenanny,The Glencoves
No One,Ray Charles
Don't Say Goodnight And Mean Goodbye,The Shirelles
Brenda,The Cupids
Harry The Hairy Ape,Ray Stevens
Dancin' Holiday,The Olympics
Saturday Sunshine,Burt Bacharach
The Minute You're Gone,Sonny James
Still No. 2,Ben Colder
One Fine Day,The Chiffons
Without Love (There Is Nothing),Ray Charles
Hello Stranger,Barbara Lewis
Be True To Yourself,Bobby Vee
It's My Party,Lesley Gore
Shake A Tail Feather,The Five Du-Tones
Cottonfields,Ace Cannon
Will Power,The Cookies
Jack The Ripper,Link Wray And The Wraymen
"Dance, Dance, Dance",Joey Dee
At The Shore,Johnny Caswell
True Blue Lou,Tony Bennett
On Top Of Spaghetti,Tom Glazer And The Do-Re-Mi Children's Chorus
My Summer Love,Ruby And The Romantics
Swinging On A Star,Big Dee Irwin
(I Love You) Don't You Forget It,Perry Como
Falling,Roy Orbison
Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole
You Can't Sit Down,The Dovells
Summer's Comin',Kirby St. Romain
Like The Big Guys Do,The Rocky Fellers
Antony And Cleopatra Theme,Ferrante
I Can't Stop Loving You,Count Basie
What A Fool I've Been,Carla Thomas
Baja,The Astronauts
True Love,Richard Chamberlain
Still,Bill Anderson
Shut Down,The Beach Boys
String Along,Rick Nelson
First Quarrel,Paul and Paula
Come Go With Me,Dion
Da Doo Ron Ron (When He Walked Me Home),The Crystals
Come And Get These Memories,Martha
I Love You Because,Al Martino
My Block,The Four Pennies
From Me To You,Del Shannon
Rat Race,The Drifters
A Letter From Betty,Bobby Vee
Summertime,Chris Columbo Quintet
I Wish I Were A Princess,Little Peggy March
Birdland,Chubby Checker
The Good Life,Tony Bennett
Your Old Stand By,Mary Wells
18 Yellow Roses,Bobby Darin
Poor Little Rich Girl,Steve Lawrence
Not Too Young To Get Married,Bob B. Soxx And The Blue Jeans
"Don't Try To Fight It, Baby",Eydie Gorme
Gypsy Woman,Rick Nelson
If My Pillow Could Talk,Connie Francis
Tears Of Joy,Chuck Jackson
Spring,Birdlegs
Say Wonderful Things,Patti Page
Guilty,Jim Reeves
The Ten Commandments Of Love,James MacArthur
Wildwood Days,Bobby Rydell
Every Step Of The Way,Johnny Mathis
Two Faces Have I,Lou Christie
Shake A Hand,Jackie Wilson
Old Smokey Locomotion,Little Eva
The Love Of My Man,Theola Kilgore
Give Us Your Blessing,Ray Peterson
Get Him,The Exciters
Scarlett O'Hara,Lawrence Welk And His Orchestra
If You Wanna Be Happy,Jimmy Soul
Prisoner Of Love,James Brown And The Famous Flames
Another Saturday Night,Sam Cooke
Losing You,Brenda Lee
The Bounce,The Olympics
There Goes (My Heart Again),Fats Domino
I'm Movin' On,Matt Lucas
Sting Ray,The Routers
If You Need Me,Solomon Burke
Graduation Day,Bobby Pickett
Hello Jim,Paul Anka
Say Wonderful Things,Ronnie Carroll
El Watusi,Ray Barretto
Hot Pastrami,The Dartells
Pushover,Etta James
Foolish Little Girl,The Shirelles
I'm Saving My Love,Skeeter Davis
Sweet Dreams (Of You),Patsy Cline
Take These Chains From My Heart,Ray Charles
Let's Go Steady Again,Neil Sedaka
I Will Follow Him,Little Peggy March
Little Latin Lupe Lu,The Righteous Brothers
Don't Make My Baby Blue,Frankie Laine
Soon (I'll Be Home Again),The 4 Seasons
Yeh-Yeh!,Mongo Santamaria Orch.
Banzai Pipeline,Henry Mancini And His Orchestra
Breakwater,Lawrence Welk And His Orchestra
Pipeline,Chantay's
Killer Joe,The Rocky Fellers
What A Guy,The Raindrops
Reverend Mr. Black,The Kingston Trio
Puff (The Magic Dragon),Peter
"Shame, Shame, Shame",Jimmy Reed
Teenage Heaven,Johnny Cymbal
Ain't That A Shame!,The 4 Seasons
Patty Baby,Freddy Cannon
Do It - Rat Now,Bill Black's Combo
Hobo Flats - Part I,Jimmy Smith
"Lonely Boy, Lonely Guitar",Duane Eddy
A Stranger In Your Town,The Shacklefords
"Sad, Sad Girl And Boy",The Impressions
You Know It Ain't Right,Joe Hinton
Spring In Manhattan,Tony Bennett
Black Cloud,Chubby Checker
Can't Get Used To Losing You,Andy Williams
This Little Girl,Dion
Hot Pastrami With Mashed Potatoes - Part I,Joey Dee
Two Kind Of Teardrops,Del Shannon
Little Band Of Gold,James Gilreath
That's How Heartaches Are Made,Baby Washington
If You Need Me,Wilson Pickett
Gravy Waltz,Steve Allen
Needles And Pins,Jackie DeShannon
The Last Leaf,The Cascades
Soulville,Dinah Washington
Forever,The Marvelettes
These Arms Of Mine,Otis Redding
Days Of Wine And Roses,Andy Williams
He's So Fine,The Chiffons
Charms,Bobby Vee
Mecca,Gene Pitney
Remember Diana,Paul Anka
The Dog,Rufus Thomas
Got You On My Mind,Cookie And His Cupcakes
Danger,Vic Dana
River's Invitation,Percy Mayfield
On Broadway,The Drifters
Watermelon Man,Mongo Santamaria Band
A Love She Can Count On,The Miracles
Don't Say Nothin' Bad (About My Baby),The Cookies
Tom Cat,The Rooftop Singers
(Today I Met) The Boy I'm Gonna Marry,Darlene Love
Days Of Wine And Roses,Henry Mancini And His Orchestra
Young And In Love,Dick and DeeDee
Baby Workout,Jackie Wilson
The Bird's The Word,The Rivingtons
Call Me Irresponsible,Jack Jones
Call Me Irresponsible,Frank Sinatra
"Ronnie, Call Me When You Get A Chance",Shelley Fabares
I Know I Know,Pookie Hudson
The Last Minute (Pt. I),Jimmy McGriff
Linda,Jan
Young Lovers,Paul and Paula
The End Of The World,Skeeter Davis
Heart,Kenny Chandler
Locking Up My Heart,The Marvelettes
Here I Stand,The Rip Chords
Bony Moronie,The Appalachians
Rockin' Crickets,Rockin' Rebels
Shy Girl,The Cascades
Heart! (I Hear You Beating),Wayne Newton And The Newton Brothers
The Folk Singer,Tommy Roe
He's A Bad Boy,Carole King
Old Enough To Love,Ricky Nelson
South Street,The Orlons
Sandy,Dion
Over The Mountain (Across The Sea),Bobby Vinton
Do The Bird,Dee Dee Sharp
Twenty Miles,Chubby Checker
Rainbow,Gene Chandler
Mr. Bass Man,Johnny Cymbal
Memory Lane,The Hippies
How Can I Forget,Jimmy Holiday
Don't Let Her Be Your Baby,The Contours
"Mother, Please!",Jo Ann Campbell
One Boy Too Late,Mike Clifford
"Don't Be Afraid, Little Darlin'",Steve Lawrence
Our Day Will Come,Ruby And The Romantics
I Got What I Wanted,Brook Benton
Out Of My Mind,Johnny Tillotson
Follow The Boys,Connie Francis
In Dreams,Roy Orbison
What Are Boys Made Of,The Percells
Our Winter Love,Bill Pursell
Whatever You Want,Jerry Butler
You Never Miss Your Water (Till The Well Runs Dry),Little Esther Phillips
Ask Me,Maxine Brown
Ann-Marie,The Belmonts
Theme From Lawrence Of Arabia,Ferrante
Rhythm Of The Rain,The Cascades
Blame It On The Bossa Nova,Eydie Gorme
I Wanna Be Around,Tony Bennett
All Over The World,Nat King Cole
All I Have To Do Is Dream,Richard Chamberlain
Dearer Than Life,Brook Benton
Sun Arise,Rolf Harris
He's So Heavenly,Brenda Lee
Hot Cakes! 1st Serving,Dave Baby Cortez
Preacherman,Charlie Russo
You're The Reason I'm Living,Bobby Darin
Yakety Sax,Boots Randolph and his Combo
Wild Weekend,The Rebels
Let's Limbo Some More,Chubby Checker
Laughing Boy,Mary Wells
Walk Like A Man,The 4 Seasons
I Got A Woman,Rick Nelson
I'm Just A Country Boy,George McCurn
You Don't Love Me Anymore (And I Can Tell),Rick Nelson
He's Got The Power,The Exciters
Amy,Paul Petersen
Sax Fifth Avenue,Johnny Beecher and his Buckingham Road Quintet
"Bill Bailey, Won't You Please Come Home",Ella Fitzgerald
This Empty Place,Dionne Warwick
How Can I Forget,Ben E. King
Eternally,The Chantels
Diane,Joe Harnell And His Orchestra
If You Can't Rock Me,Ricky Nelson
What Will My Mary Say,Johnny Mathis
Why Do Lovers Break Each Other's Heart?,Bob B. Soxx And The Blue Jeans
One Broken Heart For Sale,Elvis Presley
Ruby Baby,Dion
Love For Sale,Arthur Lyman Group
Don't Set Me Free,Ray Charles and his Orchestra
"Back At The Chicken Shack, Part 1",Jimmy Smith
Don't Wanna Think About Paula,Dickey Lee
Meditation (Meditacao),Charlie Byrd
Funny Man,Ray Stevens
Don't Mention My Name,The Shepherd Sisters
Not For All The Money In The World,The Shirelles
Hey Paula,Paul and Paula
Let's Turkey Trot,Little Eva
Greenback Dollar,The Kingston Trio
Mama Didn't Lie,Jan Bradley
Boss Guitar,Duane Eddy and the Rebelettes
Alice In Wonderland,Neil Sedaka
Tell Him I'm Not Home,Chuck Jackson
Butterfly Baby,Bobby Rydell
Cast Your Fate To The Wind,Vince Guaraldi Trio
That's All,Rick Nelson
I'll Make It Alright,The Valentinos
Walk Right In,The Rooftop Singers
The Gypsy Cried,Lou Christie
Hitch Hike,Marvin Gaye
The Jive Samba,Cannonball Adderley
I'm In Love Again,Rick Nelson
Insult To Injury,Timi Yuro
Gone With The Wind,The Duprees
Marching Thru Madrid,Herb Alpert's Tijuana Brass
Send Me Some Lovin',Sam Cooke
From A Jack To A King,Ned Miller
You've Really Got A Hold On Me,The Miracles
Fly Me To The Moon - Bossa Nova,Joe Harnell And His Orchestra
Call On Me,Bobby Bland
Little Town Flirt,Del Shannon
That's The Way Love Is,Bobby Bland
As Long As She Needs Me,Sammy Davis Jr.
Let's Stomp,Bobby Comstock
Pepino's Friend Pasqual (The Italian Pussy-Cat),Lou Monte
Nothing Goes Up (Without Coming Down),Nat King Cole
Cigarettes And Coffee Blues,Marty Robbins
Little Star,Bobby Callender
Don't Let Me Cross Over,Carl Butler
Two Wrongs Don't Make A Right,Mary Wells
He's Sure The Boy I Love,The Crystals
Up On The Roof,The Drifters
They Remind Me Too Much Of You,Elvis Presley
Big Wide World,Teddy Randazzo
Ridin' The Wind,The Tornadoes
Bossa Nova U.S.A.,The Dave Brubeck Quartet
I'm The One Who Loves You,The Impressions
All About My Girl,Jimmy McGriff
"Baby, Baby, Baby",Sam Cooke
Pin A Medal On Joey,James Darren
"Hi-Lili, Hi-Lo",Richard Chamberlain
Who Stole The Keeshka?,The Matys Bros.
The Brightest Smile In Town,Ray Charles and his Orchestra
Don't Be Cruel,Barbara Lynn
My Foolish Heart,The Demensions
Your Used To Be,Brenda Lee
The Night Has A Thousand Eyes,Bobby Vee
Every Day I Have To Cry,Steve Alaimo
Love (Makes the World Go 'round),Paul Anka
Java,Floyd Cramer
I Really Don't Want To Know,Little Esther Phillips
What Does A Girl Do?,Marcie Blane
If Mary's There,Brian Hyland
Meditation (Meditacao),Pat Boone
"The 2,000 Pound Bee (Part 2)",The Ventures
Pretty Boy Lonely,Patti Page
I Will Live My Life For You,Tony Bennett
Boss,The Rumblers
Loop De Loop,Johnny Thunder
Go Away Little Girl,Steve Lawrence
It's Up To You,Rick Nelson
Half Heaven - Half Heartache,Gene Pitney
My Coloring Book,Sandy Stewart
The Cinnamon Cinder (It's A Very Nice Dance),The Pastel Six
My Dad,Paul Petersen
She'll Never Know,Brenda Lee
I'm A Woman,Peggy Lee
Strange I Know,The Marvelettes
Chicken Feed,Bent Fabric and His Piano
Don't Fence Me In,George Maharis
Faded Love,Jackie DeShannon
I Saw Linda Yesterday,Dickey Lee
"Puddin N' Tain (Ask Me Again, I'll Tell You The Same)",The Alley Cats
Tell Him,The Exciters
My Coloring Book,Kitty Kallen
Settle Down (Goin' Down That Highway),Peter
I'm Gonna' Be Warm This Winter,Connie Francis
Proud,Johnny Crawford
Don't Make Me Over,Dionne Warwick
Two Lovers,Mary Wells
Would It Make Any Difference To You,Etta James
Ain't Gonna Kiss Ya,The Ribbons
Leavin' On Your Mind,Patsy Cline
"From The Bottom Of My Heart (Dammi, Dammi, Dammi)",Dean Martin
Only You (And You Alone),Mr. Acker Bilk
Shake Sherry,The Contours
Telstar,The Tornadoes
Everybody Loves A Lover,The Shirelles
The Ballad Of Jed Clampett,Flatt
Shake Me I Rattle (Squeeze Me I Cry),Marion Worth
How Much Is That Doggie In The Window,Baby Jane
The Popeye Waddle,Don Covay
What To Do With Laurie,Mike Clifford
Let Me Go The Right Way,The Supremes
I'd Rather Be Here In Your Arms,The Duprees
Zing! Went The Strings Of My Heart,The Furys
Al Di La,Connie Francis
M.G. Blues,Jimmy McGriff
"Baby, You're Driving Me Crazy",Joey Dee
Hotel Happiness,Brook Benton
Pepino The Italian Mouse,Lou Monte
Remember Then,The Earls
Limbo Rock,Chubby Checker
Zip-A-Dee Doo-Dah,Bob B. Soxx And The Blue Jeans
See See Rider,LaVern Baker
Willie Can,Sue Thompson
Walk Right In,The Moments
I Need You,Rick Nelson
Remember Baby,Shep And The Limelites
Every Beat Of My Heart,James Brown And The Famous Flames
Shutters And Boards,Jerry Wallace
Bobby's Girl,Marcie Blane
Big Girls Don't Cry,The 4 Seasons
Wiggle Wobble,Les Cooper and the Soul Rockers
Return To Sender,Elvis Presley
Lovesick Blues,Frank Ifield
Some Kinda Fun,Chris Montez
You Are My Sunshine,Ray Charles
Trouble Is My Middle Name,Bobby Vinton
Molly,Bobby Goldsboro
The Same Old Hurt,Burl Ives
The Lone Teen Ranger,Jerry Landis
Let's Kiss And Make Up,Bobby Vinton
Chains,The Cookies
The Lonely Bull (El Solo Torro),Herb Alpert And Tijuana Brass
Let's Go (pony),The Routers
My Wife Can't Cook,Lonnie Russ
Darkest Street In Town,Jimmy Clanton
Jellybread,Booker T.
Oo-La-La-Limbo,Danny
Love Came To Me,Dion
Dear Lonely Hearts,Nat King Cole
The Love Of A Boy,Timi Yuro
Keep Your Hands Off My Baby,Little Eva
Don't Hang Up,The Orlons
Ruby Ann,Marty Robbins
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes
Ten Little Indians,The Beach Boys
That's Life (That's Tough),Gabriel And The Angels
Coney Island Baby,The Excellents
You're Gonna Need Me,Barbara Lynn
Little Tin Soldier,The Toy Dolls
Look At Me,Dobie Gray
Red Pepper I,Roosevelt Fountain And Pens Of Rhythm
Monsters' Holiday,Bobby Boris Pickett And The Crypt-Kickers
Ride!,Dee Dee Sharp
Your Cheating Heart,Ray Charles
Desafinado,Stan Getz/Charlie Byrd
Comin' Home Baby,Mel Torme
You Threw A Lucky Punch,Gene Chandler
Echo,The Emotions
Trouble In Mind,Aretha Franklin
Big Boat,Peter
Someone Somewhere,Junior Parker
Slop Time,The Sherrys
Rumors,Johnny Crawford
The Push And Kick,Mark Valentino
He's A Rebel,The Crystals
All Alone Am I,Brenda Lee
Spanish Lace,Gene McDaniels
I May Not Live To See Tomorrow,Brian Hyland
Me And My Shadow,Frank Sinatra
Rainbow At Midnight,Jimmie Rodgers
Gonna Raise A Rukus Tonight,Jimmy Dean
Sam's Song,Dean Martin
The (Bossa Nova) Bird,The Dells
Let Me Entertain You,Ray Anthony
Santa Claus Is Coming To Town,The 4 Seasons
The Little Drummer Boy,The Harry Simeone Chorale
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks
Santa Claus Is Watching You,Ray Stevens
I Left My Heart In San Francisco,Tony Bennett
Don't Go Near The Eskimos,Ben Colder
Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks
Lover Come Back To Me,The Cleftones
"Silent Night, Holy Night",Mahalia Jackson
Eso Beso (That Kiss!),Paul Anka
My Own True Love,The Duprees
The Cha-Cha-Cha,Bobby Rydell
I Can't Help It (If I'm Still In Love With You),Johnny Tillotson
A Little Bit Now (A Little Bit Later),The Majors
Diddle-Dee-Dum (What Happens When Your Love Has Gone),The Belmonts
Road Hog,John D. Loudermilk
She's A Troublemaker,The Majors
Alvin's Harmonica,David Seville And The Chipmunks
White Christmas,The Drifters
Jingle Bell Rock,Bobby Rydell/Chubby Checker
Three Hearts In A Tangle,James Brown And The Famous Flames
Twilight Time,Andy Williams
Does He Mean That Much To You?,Eddy Arnold
Next Door To An Angel,Neil Sedaka
Only Love Can Break A Heart,Gene Pitney
Mary Ann Regrets,Burl Ives
Stubborn Kind Of Fellow,Marvin Gaye
"Lovers By Night, Strangers By Day",The Fleetwoods
I Lost My Baby,Joey Dee
Baby Has Gone Bye Bye,George Maharis
Desafinado (Slightly Out Of Tune),Pat Thomas
I Found A New Baby,Bobby Darin
Limelight,Mr. Acker Bilk
Theme From Taras Bulba (The Wishing Star),Jerry Butler
Gina,Johnny Mathis
Nothing Can Change This Love,Sam Cooke
That Stranger Used To Be My Girl,Trade Martin
What Kind Of Fool Am I,Sammy Davis Jr.
I've Got A Woman (Part I),Jimmy McGriff
Mama Sang A Song,Stan Kenton
Close To Cathy,Mike Clifford
Léah,Roy Orbison
Mama Sang A Song,Walter Brennan
Popeye (The Hitchhiker),Chubby Checker
If You Were A Rock And Roll Record,Freddy Cannon
The Jitterbug,The Dovells
Still Waters Run Deep,Brook Benton
Getting Ready For The Heartbreak,Chuck Jackson
Zero-Zero,Lawrence Welk
Night Time,Pete Antell
I Was Such A Fool (To Fall In Love With You),Connie Francis
James (Hold The Ladder Steady),Sue Thompson
Surfin' Safari,The Beach Boys
Love Me Tender,Richard Chamberlain
Don't Ask Me To Be Friends,The Everly Brothers
I'll Bring It Home To You,Carla Thomas
Workin' For The Man,Roy Orbison
Torture,Kris Jensen
Untie Me,The Tams
Stormy Monday Blues,Bobby Bland
Anna (Go To Him),Arthur Alexander
Next Door To The Blues,Etta James
Mr. Lonely,Buddy Greco
Heart Breaker,Dean Christie
I'm So Lonesome I Could Cry,Johnny Tillotson
Somebody Have Mercy,Sam Cooke
This Land Is Your Land,The New Christy Minstrels
This Land Is Your Land,Ketty Lester
You're A Sweetheart,Dinah Washington
Pop Pop Pop - Pie,The Sherrys
Sherry,The 4 Seasons
Patches,Dickey Lee
Green Onions,Booker T.
Susie Darlin',Tommy Roe
Alley Cat,Bent Fabric and His Piano
He Thinks I Still Care,Connie Francis
I've Been Everywhere,Hank Snow
You Can Run (But You Can't Hide),Jerry Butler
Heartaches,Patsy Cline
Happy Weekend,Dave Baby Cortez
The Searching Is Over,Joe Henderson
Dear Hearts And Gentle People,The Springfields
Fiesta,Dave Baby Cortez
Fools Rush In,Etta James
Don't Stop The Wedding,Ann Cole
If A Man Answers,Bobby Darin
Don't You Believe It,Andy Williams
I'm Going Back To School,Dee Clark
I Remember You,Frank Ifield
Ramblin' Rose,Nat King Cole
"Hide & Go Seek, Part I",Bunker Hill
Twistin' With Linda,The Isley Brothers
The Alley Cat Song,David Thorne
I'm Here To Get My Baby Out Of Jail,The Everly Brothers
Four Walls,Kay Starr
Mama Sang A Song,Bill Anderson
"Cold, Cold Heart",Dinah Washington
One More Town,The Kingston Trio
Aladdin,Bobby Curtola
Let's Dance,Chris Montez
Warmed Over Kisses (Left Over Love),Brian Hyland
Little Black Book,Jimmy Dean
Venus In Blue Jeans,Jimmy Clanton
Baby Face,Bobby Darin
No One Will Ever Know,Jimmie Rodgers
The Burning Of Atlanta,Claude King
Second Fiddle Girl,Barbara Lynn
I'll Remember Carol,Tommy Boyce
Don't Ever Leave Me,Bob And Earl
Magic Wand,Don
What Kind Of Fool Am I?,Robert Goulet
I Left My Heart In The Balcony,Linda Scott
Don't Go Near The Indians,Rex Allen
Rain Rain Go Away,Bobby Vinton
If I Had A Hammer (The Hammer Song),Peter
Ten Lonely Guys,Pat Boone
King Of The Whole Wide World,Elvis Presley
Did You Ever See A Dream Walking,Fats Domino
Father Knows Best,The Radiants
Hully Gully Baby,The Dovells
Lie To Me,Brook Benton
What Kind Of Love Is This,Joey Dee
You Beat Me To The Punch,Mary Wells
You Belong To Me,The Duprees
Stop The Music,The Shirelles
Sheila,Tommy Roe
Sweet Sixteen Bars,Earl Grant
Save All Your Lovin' For Me,Brenda Lee
What Kind Of Fool Am I,Anthony Newley
Further More,Ray Stevens
Where Do You Come From,Elvis Presley
Punish Her,Bobby Vee
Teen Age Idol,Rick Nelson
It Might As Well Rain Until September,Carole King
Beechwood 4-5789,The Marvelettes
Come On Little Angel,The Belmonts
The Things We Did Last Summer,Shelley Fabares
A Wonderful Dream,The Majors
A Taste Of Honey,Martin Denny and His Orchestra
You Can't Judge A Book By The Cover,Bo Diddley
When The Boys Get Together,Joanie Sommers
I'm Gonna Change Everything,Jim Reeves
Limbo Dance,The Champs
The Loco-Motion,Little Eva
Rinky Dink,Baby Cortez
If I Didn't Have A Dime (To Play The Jukebox),Gene Pitney
The Swiss Maid,Del Shannon
I Keep Forgettin',Chuck Jackson
What Time Is It?,The Jive Five
...And Then There Were Drums,Sandy Nelson
409,The Beach Boys
Forever And A Day,Jackie Wilson
You Can't Lie To A Liar,Ketty Lester
Hail To The Conquering Hero,James Darren
Hully Gully Guitar,Jerry Reed And The Hully Girlies
Silver Threads And Golden Needles,The Springfields
She's Not You,Elvis Presley
Devil Woman,Marty Robbins
You Don't Know Me,Ray Charles
Shame On Me,Bobby Bare
Point Of No Return,Gene McDaniels
A Swingin' Safari,Billy Vaughn And His Orchestra
Send Me The Pillow You Dream On,Johnny Tillotson
Your Nose Is Gonna Grow,Johnny Crawford
Party Lights,Claudine Clark
Lollipops And Roses,Paul Petersen
Don't You Worry,Don Gardner And Dee Dee Ford
Long As The Rose Is Red,Florraine Darlin
I Love You The Way You Are,Bobby Vinton
Lookin' For A Love,The Valentinos
Papa-Oom-Mow-Mow,The Rivingtons
Mashed Potatoes U.S.A.,James Brown And The Famous Flames
I'm The Girl From Wolverton Mountain,Jo Ann Campbell
What's Gonna Happen When Summer's Done,Freddy Cannon
The Boys' Night Out,Patti Page
Big Love,Joe Henderson
Yield Not To Temptation,Bobby Bland
Every Night (Without You),Paul Anka
Ol' Man River,Jimmy Smith
Broken Heart,The Fiestas
Way Over There,The Miracles
Sweet Little Sixteen,Jerry Lee Lewis
Someday (When I'm Gone From You),Bobby Vee and The Crickets
Try A Little Tenderness,Aretha Franklin
Stop The Wedding,Etta James
What's A Matter Baby (Is It Hurting You),Timi Yuro
Things,Bobby Darin
Mr. Songwriter,Connie Stevens
Baby Elephant Walk,Lawrence Welk And His Orchestra
Vacation,Connie Francis
Till Death Do Us Part,Bob Braun
Glory Of Love,Don Gardner And Dee Dee Ford
I Really Don't Want To Know,Solomon Burke
Roses Are Red (My Love),Bobby Vinton
Little Diane,Dion
Twist And Shout,The Isley Brothers
Make It Easy On Yourself,Jerry Butler
Bring It On Home To Me,Sam Cooke
Call Me Mr. In-Between,Burl Ives
Lolita Ya-Ya,The Ventures
(Theme from) A Summer Place,Dick Roman
Beach Party,King Curtis And The Noble Knights
There Is No Greater Love,The Wanderers
Copy Cat,Gary U.S. Bonds
Bonanza!,Johnny Cash
Your Heart Belongs To Me,The Supremes
"Ahab, The Arab",Ray Stevens
Sealed With A Kiss,Brian Hyland
You'll Lose A Good Thing,Barbara Lynn
Speedy Gonzales,Pat Boone
Just Tell Her Jim Said Hello,Elvis Presley
Heart In Hand,Brenda Lee
The Wah Watusi,The Orlons
Love Me As I Love You,George Maharis
Wolverton Mountain,Claude King
Jivin' Around,Al Casey Combo
Reap What You Sow,Billy Stewart
I Want To Be Loved,Dinah Washington
Silly Boy (She Doesn't Love You),The Lettermen
Send For Me (If you need some Lovin),Barbara George
Mama (He Treats Your Daughter Mean),Ruth Brown
The Stripper,David Rose and His Orchestra
"(Girls, Girls, Girls) Made To Love",Eddie Hodges
Theme From Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain
I Can't Stop Loving You,Ray Charles
The Ballad Of Paladin,Duane Eddy
Having A Party,Sam Cooke
Too Late To Worry - Too Blue To Cry,Glen Campbell
A Taste Of Honey,The Victor Feldman Quartet
Oh! What It Seemed To Be,The Castells
I Wouldn't Know (What To Do),Dinah Washington
For All We Know,Dinah Washington
Johnny Get Angry,Joanie Sommers
Dancin' Party,Chubby Checker
I Need Your Loving,Don Gardner And Dee Dee Ford
Have A Good Time,Sue Thompson
So Wrong,Patsy Cline
I'm Coming Home,Paul Anka
Beach Party,Dave York and The Beachcombers
Till There Was You,Valjean on Piano
Route 66 Theme,Nelson Riddle
Little Red Rented Rowboat,Joe Dowell
Gravy (For My Mashed Potatoes),Dee Dee Sharp
It Started All Over Again,Brenda Lee
Al Di La',Emilio Pericoli
Palisades Park,Freddy Cannon
Bongo Stomp,Little Joey And The Flips
Limbo Rock,The Champs
Ben Crazy,Dickie Goodman
Above The Stars,Mr. Acker Bilk
I'll Never Dance Again,Bobby Rydell
Mary's Little Lamb,James Darren
The Bird Man,The Highwaymen
A Miracle,Frankie Avalon
Careless Love,Ray Charles
Right String But The Wrong Yo-Yo,Dr. Feelgood And The Interns
Worried Mind,Ray Anthony
Too Bad,Ben E. King
Poor Little Puppet,Cathy Carroll
Don't Worry 'Bout Me,Vincent Edwards
Limbo,The Capris
Sweet Georgia Brown,Carroll Bros.
Welcome Home Baby,The Shirelles
"Summertime, Summertime",The Jamies
It Keeps Right On A-Hurtin',Johnny Tillotson
Steel Men,Jimmy Dean
Playboy,The Marvelettes
Johnny Loves Me,Shelley Fabares
Never In A Million Years,Linda Scott
Why Did You Leave Me?,Vince Edwards
Callin' Doctor Casey,John D. Loudermilk
Sugar Plum,Ike Clanton
Snap Your Fingers,Joe Henderson
I Don't Love You No More (I Don't Care About You),Jimmy Norman
But Not For Me,Ketty Lester
Little Bitty Pretty One,Clyde McPhatter
Walk On The Wild Side (Part 1),Jimmy Smith And The Big Band
The Crowd,Roy Orbison
Fortuneteller,Bobby Curtola
West Of The Wall,Toni Fisher
Cindy's Birthday,Johnny Crawford
Seven Day Weekend,Gary U.S. Bonds
My Daddy Is President,Little Jo Ann
Stranger On The Shore,Mr. Acker Bilk
Where Are You,Dinah Washington
Swingin' Gently,Earl Grant
La Bomba,The Tokens
Life's Too Short,The Lafayettes
"Theme From ""Hatari!""",Henry Mancini And His Orchestra
Come On Baby,Bruce Channel
Houdini,Walter Brennan
A Steel Guitar And A Glass Of Wine,Paul Anka
Bristol Twistin' Annie,The Dovells
If I Should Lose You,Dreamlovers
Hot Pepper,Floyd Cramer
Shout And Shimmy,James Brown And The Famous Flames
Boom Boom,John Lee Hooker
I Just Can't Help It,Jackie Wilson
All Night Long,Sandy Nelson
Sweet And Lovely,April Stevens
"Goodnight, Irene",Jerry Reed And The Hully Girlies
Nothing New (Same Old Thing),Fats Domino
Little Young Lover,The Impressions
I'm Tossin' And Turnin' Again,Bobby Lewis
Stranger On The Shore,Andy Williams
Sharing You,Bobby Vee
(The Man Who Shot) Liberty Valance,Gene Pitney
